botanical,local
Koelreuteria bipinnata,Chinese flame tree
Kydia calycina,Bharanga
Lagerstroemia indica,Dhayti
Lagerstroemia lanceolata,Nandi
Lagerstroemia microcarpa,Nana
Lagerstroemia speciosa,Taman
Lannea coromandalica,Shemat
Leucaena leucocephala,Subabhul
Licuala grandis,Ruffled fan palm
Limonia acidissima,Kavath
Litchi chinensis,Lichi
Litsea deccanensis,Chikna
Livistona chinensis,Chinese fan palm
Macaranga peltata,Chandada
Madhuca longifolia,Moha
Maesopsis eminii,Umbrella Tree
Magnolia champaca,Son chapha
Magnolia grandiflora,Magnolia
Magnolia liliifera,Kavathi chapha
Mallotus nudiflorus,Petari
Malus domestica,Safarchand
Mammea suriga,Surangi
Mangifera indica,Amba
Manihot esculenta,Pavde napharin
Manilkara hexandra,Khirni
Manilkara zapota,Chiku
Markhamia lutea,Siala
Melaleuca bracteata,Golden bottle brush
Melia azedarach,Bakneem
Memecylon umbellatum,Anjani
Mesua ferrea,Nagkeshar
Meyna spinosa,Huloo
Millettia peguensis,Humb
Millingtonia hortensis,Akashneem
Mimusops elengi,Bakul
Mitragyna parvifolia,Kalamb
Morinda citrifolia,Nagakunda
Morinda pubescens,Bartondi
Moringa oleifera,Shevga
Morus alba,Common mulberry
Muntingia calabura,Tuti
Murraya koenigii,Singapore cherry
Murraya paniculata,Kunti
Myristica fragrans,Jayaphal
Myrtus communis,Firangi methi
Neolamarckia cadamba,Kadamba
Nyctanthes arbor-tristis,Parijaatak
Ochnainte gerrima,Champa
Olea dioica,Parjamb
Oroxylum indicum,Tetu
Pachira aquatica,Pachira
Pachypodium lamerei,Madagascar palm
Parkia biglandulosa,Chendu phul
Parkinsonia aculeata,Vilayati kikar
Parmentiera cereifera,Candle tree
Peltophorum africanum,African wattle
Peltophorum pterocarpum,Sonmohar
Persea americana,Avocado
Phoenix dactylifera,Khajur
Phoenix roebelenii,Pygmy date palm
Phoenix sylvestris,Shindi
Phyllanthus acidus,Rai awla
Phyllanthus emblica,Awla
Pimenta dioica,All spice
Pinus roxburghii,Pine
Pithecellobium dulce,Vilayati chinch
Platycladus orientalis,Morpankhi
Plumeria alba,Chapha
Plumeria obtusa,Pandhra chapha
Plumeria rubra,Lal chapha
Polyalthia longifolia,Asupalav
Pongamia pinnata,Karanj
Populus alba,Poplar
Populus nigra,Black Poplar
Prosopis cineraria,Shami
Prosopis juliflora,Vedi babhul
Pseudobombax ellipticum,Shaving brush Tree
Psidium guajava,Peru
Psydrax dicoccos,Arsul
Pterocarpus marsupium,Bibla
Pterospermum acerifolium,Karnikar
Pterospermum suberifolium,Muchkunda
Pterospermum xylocarpum,Tada
Pterygota alata,Narikel
Punica granatum,Dalimb
Putranjiva roxburghii,Putranjiva
Ravenala madagascariensis,Traveller's palm
Roystonea regia,Royal palm
Salix tetrasperma,Walunj
Salvadora persica,Pilu
Santalum album,Chandan
Sapindus emarginatus,Phenil
Sapindus mukorossi,Ritha
Sapindus trifoliatus,Ritha
Saraca asoca,Sita Ashok
Schefflera actinophylla,Umbrella Tree
Schleichera oleosa,Koshimb
Schrebera swietenioides,Mokha
Semecarpus anacardium,Bibba
Senna siamea,Kashid
Sesbania grandiflora,Agasti
Simarouba amara,Laxmitaru
Spathodea campanulata,Pichkari
Spondias pinnata,Ambada
Sterculia foetida,Jungli badam
Sterculia urens,Kahandol
Stereospermum chelonoides,Paadal
Streblus asper,Kharoti
Strychnos nux-vomica,Kajra
Swietenia macrophylla,Mothi mahogany
Swietenia mahagoni,Mahogany
Syagrus romanzoffiana,Sygarus palm
Syzygium cumini,Jambhul
Syzygium jambos,Jamb
Tabebuia argentea,Yellow Trumpet Tree
Tabebuia aurea,Carribean trumpet  tree
Tabebuia heterophylla,Cuban pink trumpet  tree
Tabebuia rosea,Pink trumpet tree
Tabernaemontana divaricata,Tagar
Tamarindus indica,Chinch
Tamarix aphylla,Machika
Taxodium distichum,Bald cypress
Tecomella undulata,Rakhtroda
Tectona grandis,Sag
Terminalia arjuna,Arjun
Terminalia bellirica,Behada
Terminalia catappa,Deshi badam
Terminalia chebula,Hirda
Terminalia crenulata,Madagascar almond
Terminalia mantaly,Kinjal
Terminalia paniculata,Jangali bhend
Theobroma cacao,Cocoa tree
Thespesia populnea,Bhend
Toona ciliata,Kunant
Trema orientalis,Charcoal tree
Triadica sebifera,Chinese tallow tree
Vitex negundo,Nirgundi
Washingtonia filifera,California Palm
Wodyetia bifurcata,Foxtail Palm
Wrightia arborea,Tambda Kuda
Wrightia tinctoria,Kala kuda
Zanthoxylum rhetsa,Chirphala
Ziziphus jujuba,Bor
